PrjUID,颱風,核列序號,工程代碼,機關名稱,復建工程名稱,鄉(鎮市),審議經費(千元),實際進度%,完工期限,發包日期,完工日期
Prj1111221632597300453,100年11月豪雨,001,A1,花蓮縣政府,樹湖村樹湖溪四號橋上游野溪護堤掏空,壽豐鄉,200,100,2012.05.31,2012.04.18,2012.05.04
Prj1111211904187320000,100年11月豪雨,001,C1,花蓮縣政府,池豐產業道路(花82線)災修工程,富里鄉,4466.00,100,2012.10.01,2012.05.01,2012.10.01
Prj1111220902551590022,100年11月豪雨,002,C1,花蓮縣政府,瑞港公路(花64線)6k、6.2k、7k、7.5k等四件路面塌陷修復工程,"瑞穗鄉

瑞穗鄉

瑞穗鄉

瑞穗鄉",9277.00,100,2012.11.30,2012.06.21,2012.11.23
Prj1111291727052720027,100年11月豪雨,003,C1,花蓮縣政府,縣道193線42k+00道路修復工程,壽豐鄉,886,100,2012.05.31,2012.04.16,2012.05.31
Prj1111211021372780003,100年11月豪雨,005,C1,花蓮縣政府,豐濱村花51線等3處道路修復工程,"豐濱鄉

豐濱鄉

豐濱鄉",1726.00,100,2012.06.30,2012.04.24,2012.06.30
Prj1111221047379960279,100年11月豪雨,006,C1,花蓮縣政府,花63線道路災害修復工程,卓溪鄉,737,100,2012.09.07,2012.06.29,2012.09.07
Prj1111291801392850042,100年11月豪雨,007,C1,花蓮縣政府,東里村花76線道路路基掏空災修工程,富里鄉,608,100,2012.07.02,2012.05.02,2012.07.02
Prj1111212054118550050,100年11月豪雨,001,G1,花蓮縣政府,東里阿眉溪堤防災修工程,富里鄉,962,100,2013.01.14,2012.07.27,2013.01.14
Prj1111221617423810451,100年11月豪雨,002,G1,花蓮縣政府,石牌村3鄰排水溝及13鄰道路災修工程,富里鄉,295,100,2013.01.14,2012.07.27,2013.01.14
Prj1111231709548810074,100年11月豪雨,003,G1,花蓮縣政府,德武里5鄰無名溪堤防修復工程,玉里鎮,429,100,2012.08.15,2012.06.29,2012.08.15
Prj1111220809468850000,100年11月豪雨,001,H3,花蓮縣政府,豐濱鄉新莊農路災修工程,豐濱鄉,4677.00,100,2012.11.10,2012.07.17,2012.11.01
Prj1111230831545980572,100年11月豪雨,002,H3,花蓮縣政府,樂合里樂園二支線農路修復工程,玉里鎮,1554.00,100,2012.06.09,2012.04.11,2012.05.29
Prj1111221842212050496,100年11月豪雨,003,H3,花蓮縣政府,松浦里杜風溪護岸修復工程,玉里鎮,1653.00,100,2013.08.09,2012.05.22,2012.08.09
Prj1111221633348650454,100年11月豪雨,004,H3,花蓮縣政府,加里三號橋上游堤防修復工程,光復鄉,1310.00,100,2012.05.30,2012.04.13,2012.05.29
Prj1111221923253350550,100年11月豪雨,005,H3,花蓮縣政府,東富村羅莫產道支線修復工程,光復鄉,4376.00,100,2013.09.21,2012.06.12,2012.09.21
Prj1112050934586370001,100年11月豪雨,006,H3,花蓮縣政府,東富村羅莫產道修復工程,光復鄉,1230.00,100,2013.09.29,2012.07.17,2012.09.21
Prj1111221544062650419,100年11月豪雨,007,H3,花蓮縣政府,吳江村內道路災修工程,富里鄉,852,100,2013.09.13,2012.07.10,2012.09.13
Prj1111231149228060609,100年11月豪雨,008,H3,花蓮縣政府,樂合里樂園農路主線修復工程,玉里鎮,907,100,2013.08.09,2012.05.22,2012.08.09
